ticker,date,sent_content_news,sent_title_news,count_news,sent_content_opinions,sent_title_opinions,count_opinions
AAPL,2015-01-01,-0.8363666208460928,0.0113859269768,1.0,,,
AAPL,2015-01-05,-0.16167376330122354,0.06674359226599336,2.0,-0.5136250793933869,-0.3267016597092153,5.0
AAPL,2015-01-06,-0.23943424224853516,-0.5755500644445419,1.0,0.20735101774334908,-0.25582116981968284,2.0
AAPL,2015-01-07,-0.4712784811854363,-0.6798127125948668,2.0,-0.3745889523997903,-0.19869404099881655,2.0
AAPL,2015-01-13,-0.9463925408199428,0.6842443291097879,1.0,-0.48322851164266467,-0.34070877870544797,4.0
AAPL,2015-01-14,-0.3210545592010022,-0.9096168084070088,2.0,0.3002887703478336,0.06023783981800081,1.0
AAPL,2015-01-15,0.01479670871049162,0.3991573993116619,3.0,-0.8030639626085759,0.27545070648193354,1.0
AAPL,2015-01-16,-0.07543188706040381,0.19146542693488305,2.0,,,
AAPL,2015-01-19,0.3509257171923916,-0.20449936110526326,3.0,-0.8969742245972158,0.025336552411317798,1.0
AAPL,2015-01-21,-0.45079755193243415,-0.5325658436243732,3.0,0.1656155940145255,0.08151095476932829,2.0
AAPL,2015-01-22,-0.7212836854159833,0.7963110143318772,2.0,0.006235983222723118,-0.47671143291518087,2.0
AAPL,2015-01-23,0.5306444754824043,0.5226729167625308,2.0,,,
AAPL,2015-01-26,0.4072998357005418,0.28734216862358153,4.0,-0.009892337024211903,0.023238242293397573,6.0
AAPL,2015-01-27,-0.7096632618457079,-0.271203787997365,10.0,-0.11232175864279274,0.1390672822793325,6.0
AAPL,2015-01-28,-0.6520624533295631,-0.19904500134289266,5.0,-0.08923063799738885,-0.16379270411562177,8.0
AAPL,2015-01-29,-0.6140670953318477,0.27683117166161536,5.0,-0.09911847797532881,-0.0423735949314303,9.0
AAPL,2015-01-30,0.9210053812712432,0.9246268719434738,1.0,-0.03895414806902405,0.08947977051138875,2.0
AAPL,2015-02-02,0.07002000883221628,0.35853240623449295,3.0,-0.042192832380533216,0.03068938069045546,5.0
AAPL,2015-02-03,-0.023636033758521136,-0.09648296562954778,2.0,-0.1749087423086167,-0.41777925938367844,2.0
AAPL,2015-02-04,-0.5119039183482529,-0.8816408012062311,2.0,-0.6365393996238708,-0.0013865381479264,1.0
AAPL,2015-02-05,0.36374463811516766,-0.016096177697181725,5.0,0.2532265502959489,0.07264984026551245,2.0
AAPL,2015-02-09,-0.8846029695123434,0.29167746007442474,2.0,-0.08568150177598,0.3950876882299782,2.0
AAPL,2015-02-10,0.669348466830949,0.6050081495195627,3.0,,,
